gwl,pH,TDS,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification
2.85,7.43,1619.2,474.2730924,380,1.1,243.595,44.0,168.6257531,8.8,184.0,106.964,899.8190789,2.444097167,C4S1
1.05,7.8,698.88,405.2368415,80,2.03,12.4012,12.0,94.36825248,5.0,56.0,48.62,339.9177632,2.225415695,C3S1
2.01,8.17,918.4,420.2476493,150,1.18,66.435,24.0,125.7870809,8.9,24.0,92.378,439.84375,2.607708184,C3S1
2.12,7.75,704.0,293.9329627,130,1.18,57.577,20.0,60.61068885,3.0,72.0,58.344,419.9013158,1.286020128,C3S1
7.9,7.69,659.2,231.7532008,130,1.12,93.009,19.0,35.72279257,2.0,112.0,38.896,439.9342105,0.740497673,C3S1
1.65,7.97,675.2,287.2857324,90,1.09,110.725,18.0,48.39248297,6.0,72.0,58.344,419.9013158,1.026777757,C3S1
38.25,7.84,444.8,211.7210458,70,0.88,27.4598,11.0,40.70985836,2.0,24.0,48.62,259.9177632,1.097877222,C2S1
5.61,7.86,1091.2,470.8198856,220,1.52,35.432,33.0,164.0807686,3.5,56.0,87.516,499.8519737,3.190870214,C3S1
3.85,7.7,1104.0,517.0686891,190,0.74,53.148,25.0,102.3019911,7.0,40.0,131.274,639.7779605,1.758496923,C3S1
2.55,7.75,903.68,232.708683,160,0.7,263.5255,27.0,115.8534108,1.0,112.0,43.758,459.9259868,2.348751193,C3S1
2.75,8.22,590.08,174.4241532,130,0.73,95.2235,21.0,103.5167455,0.5,32.0,38.896,239.9342105,2.905605748,C3S1
16.1,7.75,618.88,388.2618294,20,1.19,64.2205,10.0,22.00807446,0.5,32.0,87.516,439.8519737,0.456247963,C3S1
20.3,7.98,822.4,420.0,70,1.42,28.98981818,125.0,200.0,2.0,24.0,43.758,239.9259868,5.613885037,C3S1
4.2,8.02,391.68,160.0,40,1.04,53.34931818,59.0,74.0,2.0,24.0,24.31,159.9588816,2.543898061,C2S1
9.58,7.48,449.28,230.0,40,0.3,54.55722727,32.0,84.0,2.0,48.0,14.586,179.9753289,2.722356283,C2S1
4.48,7.62,351.36,200.0,30,0.42,25.36609091,27.0,51.0,1.0,24.0,29.172,179.9506579,1.652972471,C2S1
6.2,7.48,434.56,240.0,40,1.01,21.74236364,30.0,68.0,0.3,24.0,34.034,199.9424342,2.0908775,C2S1
8.85,7.68,431.36,290.0,30,0.79,16.30677273,30.0,55.0,15.0,32.0,43.758,239.9259868,1.543818385,C2S1
